place_id,nome,endereco,municipio,categoria,avaliacao,numero_avaliacoes,lat,lng,telefone,website
ChIJ-1QfRQAdzpQR_tSt7tvONBI,Casa Laya,"Caminho San Martin - Jardim Independencia, São Vicente - SP, 11380-480, Brasil",São Vicente,casa noturna,4.8,228.0,-23.964431,-46.3692566,(13) 99662-3939,https://www.instagram.com/casa_laya/
ChIJ-7XpwVEdzpQRtY4WNZS8g3M,Porks Praia Grande | Bar de Rock | Chope Artesanal | Comida de Boteco e Porco,"R. Mal. Floriano Peixoto, 52 - Canto do Forte, Praia Grande - SP, 11700-210, Brasil",Praia Grande,bar,4.3,240.0,-24.006056,-46.4066335,(61) 99567-2332,http://linkme.bio/porkspg
ChIJ-7pea3AdzpQRxwAXWzcXo6k,Amsterdã,"R. João B. Robortella, 115 - Catiapoã, São Vicente - SP, 11365-250, Brasil",São Vicente,casa noturna,4.8,23.0,-23.9609694,-46.3937348,(13) 97407-6156,
ChIJ-SETvQUDzpQRHjbdJmQPzWw,Arapuka GastroBar,"R. Azevedo Sodré, 123 - Gonzaga, Santos - SP, 11055-051, Brasil",Santos,bar,4.5,2146.0,-23.9663499,-46.3309207,(13) 3301-3009,
ChIJ-UiZmlIdzpQRwRXHwXbLUAk,Adega Bigode 013,"R. Honduras, 490 - Guilhermina, Praia Grande - SP, 11702-060, Brasil",Santos,adega,5.0,20.0,-24.0107919,-46.428556,(11) 93007-4699,
ChIJ-YxXEhoozpQR6VEU0S28aoQ,Bar Amigos Da Praia,"Av. Gov. Mário Covas Júnior, 9160 - Balneario Regina Maria, Mongaguá - SP, 11730-000, Brasil",Mongaguá,bar,4.4,117.0,-24.1286499,-46.68420649999999,(11) 95366-5521,
ChIJ-ya_NnQdzpQRQkg1IEHM2d0,Capitão Bar,"Av. Pres. Castelo Branco, 1548 - Canto do Forte, Praia Grande - SP, 11700-800, Brasil",Praia Grande,bar,4.2,2017.0,-24.0133225,-46.4149174,(13) 3592-2728,
ChIJ01DX3Icl0JQRDOhfl4jjgRg,Calçadão do Chopp | Bar em Peruíbe,"Av. São João, 252 - Centro, Peruíbe - SP, 11770-290, Brasil",Peruíbe,bar,4.4,51.0,-24.3227395,-46.9975271,,
ChIJ03Ot9RADzpQRAaCBcDapBX4,Cola na Base,"R. Alagoas, 6 - Gonzaga, Santos - SP, 11065-120, Brasil",Santos,bar,4.5,1261.0,-23.9644778,-46.3361273,(13) 97414-2564,https://www.instagram.com/colanabase/
ChIJ06B0SUMdzpQRpJOKEoh5Dj0,Adega Aloha Drinks Sv,"R. Marquês de São Vicente, 310 - Loja 2 - Centro, São Vicente - SP, 11310-180, Brasil",São Vicente,adega,4.2,17.0,-23.9689763,-46.3921398,(13) 99707-6781,
ChIJ07a8AmoDzpQRRMD94Zzy_PY,Coco Beach Bar & Food,"Av. Siqueira Campos, 616 - Boqueirão, Santos - SP, 11045-200, Brasil",Santos,bar,4.7,630.0,-23.9707098,-46.3202828,,http://instagram.com/cocobeachsantos
ChIJ0w-SpQz-0ZQRbROIrnHLcTA,Bendito! bar e lounge,"Praça Dr. Walter Belian, 39 - Jardim Guaiuba, Guarujá - SP, 11420-440, Brasil",Guarujá,Bar/Casa Noturna,4.5,142.0,-24.0132156,-46.2805285,,
ChIJ0w-nypcdzpQR6CZAg-xPZdk,Botecagem Ramalho,"R. João Ramalho, 215 - Centro, São Vicente - SP, 11310-050, Brasil",São Vicente,bar,4.6,478.0,-23.9676729,-46.3802507,(13) 3469-2494,
ChIJ0xHtOEwbzpQRnWjtnOot65Y,Bar & Restaurante Clube do Frango 013 - Cubatão,"Av. Nossa Sra. da Lapa, 1291 - Vila Nova, Cubatão - SP, 11520-060, Brasil",Cubatão,bar,4.7,32.0,-23.9016976,-46.42381959999999,(13) 98189-9322,https://app.menudino.com/clubedofrango013
ChIJ0zd74LEDzpQRDTbiHBrhgJo,Boteco Seu Costa,"R. Paraíba, 56 - Pompéia, Santos - SP, 11065-470, Brasil",Santos,bar,4.7,684.0,-23.9636771,-46.3399334,(13) 3385-0807,https://instagram.com/botecoseucosta?utm_medium=copy_link
ChIJ1-IHuCv9zZQRim7ivfPtU48,Adega Infinity Drink's,"R. Carvalho de Santana, 44 - Jardim Paulista, Bertioga - SP, 11250-402, Brasil",Bertioga,adega,4.6,13.0,-23.8401206,-46.1348966,(13) 99775-0617,https://m.facebook.com/profile.php?id=100063614950321
ChIJ12AdPwL-0ZQRxjq_mXXtYw4,Jamel Estudio & Pub,"R. Adélino Cardoso, 524 - Vila Santa Rosa, Guarujá - SP, 11431-040, Brasil",Guarujá,bar,4.9,420.0,-23.9959961,-46.2799057,(13) 3326-5638,https://instagram.com/jamelestudiopub
ChIJ14eCBSUnzpQRIxCmTOLcEtE,CABANA'S BAR & LOUNGE,"Av. Gov. Mário Covas Júnior, 1679 - Centro, Mongaguá - SP, 11730-000, Brasil",Mongaguá,Bar/Casa Noturna,3.8,284.0,-24.0959289,-46.6197386,(13) 99633-1762,
ChIJ15QCz5odzpQRYDjh5Qmm8H8,Adega Imperador Drinks,"R. Niterói, 19 - Loja 02 - Jardim Independencia, São Vicente - SP, 11380-350, Brasil",São Vicente,adega,4.8,41.0,-23.9612697,-46.3761522,(13) 99732-6442,https://www.ifood.com.br/delivery/sao-vicente-sp/adega-imperador-drinks-jardim-independencia/4452c576-02f0-45bb-8b2c-822bd9501029?utm_medium=share
ChIJ17Zabs8czpQRl5z0XMXoymk,AMUSE Beach Club,"Al. Paulo Gonçalves, 680 - Ilha Porchat, São Vicente - SP, 11320-350, Brasil",Cubatão,casa noturna,4.5,975.0,-23.9805395,-46.3699559,(13) 97401-6107,http://www.amuse.com.br/
ChIJ1w1EfgApzpQRV3OqETYbOAc,Adega Malibu,"R. Santa Tereza, 1855 - Jardim Santana, Mongaguá - SP, 11730-000, Brasil",Mongaguá,adega,5.0,3.0,-24.1149737,-46.6949354,,
ChIJ2-UbWWcDzpQRpvtMAFfETpo,Adega 2N - Conveniência e Tabacaria,"R. Cunha Moreira, 249 - Encruzilhada, Santos - SP, 11050-241, Brasil",Santos,adega,4.8,47.0,-23.9551921,-46.3309226,(13) 99195-8716,https://www.instagram.com/adega2n/
ChIJ20l2fQAZzpQRYn-2djiDZR4,Maxine adega e tabacaria,"R. Larissa Kocner - Ilha bela, Cubatão - SP, 11538-010, Brasil",Cubatão,adega,,,-23.9020609,-46.4425004,,https://www.instagram.com/maxine_adega/profilecard/?igsh=NWZ4c2NpOHExemJm
ChIJ21TpdlQB0pQRWGzzU68to9E,Empório Johnnie Daniels,"Estrada de Pernambuco, 135 - Parque Enseada, Guarujá - SP, 11443-410, Brasil",Guarujá,adega,4.9,20.0,-23.986838,-46.2042499,(13) 97404-1287,https://www.lanchasguaruja.com.br/
ChIJ28bj02n_0ZQRB9P2HnLMicg,Praiô Lounge Bar,"Av. Miguel Estefno, 2661 - Balneario Cidade Atlantica, Guarujá - SP, 11440-533, Brasil",Guarujá,bar,3.7,169.0,-23.9859127,-46.2249869,(13) 99692-3139,https://instagram.com/praio.guaruja
